model_slug,model,split,rows,Exact match,BLEU,chrF,avg_prediction_tokens,avg_reference_tokens,avg_prediction_reference_length_ratio
rnn_lstm_scratch,RNN LSTM from scratch,Bible,3109,0.0003,9.15,22.91,28.01,35.62,0.836
rnn_lstm_scratch,RNN LSTM from scratch,JHW,3281,0.0171,5.32,18.33,21.43,27.77,0.885
transformer_scratch,Transformer from scratch,Bible,3109,0.0026,19.45,37.34,30.16,35.62,0.932
transformer_scratch,Transformer from scratch,JHW,3281,0.018,15.77,34.66,24.81,27.77,1.065
opus_mt_pretrained,OPUS-MT pretrained,Bible,3109,0.0,17.85,37.87,33.13,35.62,0.977
opus_mt_pretrained,OPUS-MT pretrained,JHW,3281,0.0055,11.4,34.39,32.93,27.77,1.414
opus_mt_fine_tuned,OPUS-MT fine-tuned,Bible,3109,0.0026,24.38,43.79,32.98,35.62,0.954
opus_mt_fine_tuned,OPUS-MT fine-tuned,JHW,3281,0.0137,17.89,40.96,27.81,27.77,1.101
